Station name,SEWARDS BRIDGE GS
Station number,"152201001"
External number,---
River,River Itchen
Operator,---
NGR,SU5736232235
Easting,"457362"
Northing,"132235"
Parameter-name,FQ [Flow]
Parameter Type,Flow
Time series name,SSD/152201001/FQ/WDay.Mean
Time series unit,m³/s
Time level,Daily
Time series type,Other
Equidistant time series,yes
Time series value distance,1 day
Time series quality,Production
Time series measuring method,---
Period of record in file: 01/01/1980 09:00:00 to 08/01/2021 09:00:00
Quality code description, G = good; E = estimated; S = suspect; U = unchecked; M = missing; C = complete; I = incomplete; Ed = edited; WR = within rating; NR = no rating; EX> = extrapolated upper part; EX< = extrapolated lower part; BL> = beyond upper limit; BL< = beyond lower limit; MH = weir modular (head); NH = weir non modular (head); EH = weir extremely non modular (head); MT = weir modular (tail); NT = weir non modular (tail); ET = weir extremely non modular (tail); MC = weir modular (crest); NC = weir non modular (crest); EC = weir extremely non modular (crest); -H = weir head only; RAS = rastered time stamp; A = apportioned/interpolated; D = dry; SN = snow; T = trace
Time stamp,Value[m³/s],State of value,Interpolation,valid[%],invalid[%],missing[%],Tags,Comments
05/02/1980 09:00:00,0.852,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
06/02/1980 09:00:00,0.847,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
07/02/1980 09:00:00,0.840,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
08/02/1980 09:00:00,0.897,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
09/02/1980 09:00:00,0.872,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
10/02/1980 09:00:00,0.858,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
11/02/1980 09:00:00,0.846,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
12/02/1980 09:00:00,0.841,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
13/02/1980 09:00:00,0.841,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
14/02/1980 09:00:00,0.841,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
15/02/1980 09:00:00,0.851,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
16/02/1980 09:00:00,0.881,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
17/02/1980 09:00:00,0.917,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
18/02/1980 09:00:00,0.935,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
19/02/1980 09:00:00,0.935,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
20/02/1980 09:00:00,0.945,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
21/02/1980 09:00:00,0.979,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
22/02/1980 09:00:00,1.01,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
23/02/1980 09:00:00,0.942,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
24/02/1980 09:00:00,0.935,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
25/02/1980 09:00:00,0.911,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
26/02/1980 09:00:00,0.935,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
27/02/1980 09:00:00,0.935,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
28/02/1980 09:00:00,0.935,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
29/02/1980 09:00:00,0.899,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
01/03/1980 09:00:00,0.933,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
02/03/1980 09:00:00,0.935,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
03/03/1980 09:00:00,0.935,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
04/03/1980 09:00:00,0.935,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
05/03/1980 09:00:00,0.935,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
06/03/1980 09:00:00,0.935,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
07/03/1980 09:00:00,0.935,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
08/03/1980 09:00:00,0.935,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
09/03/1980 09:00:00,0.935,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
10/03/1980 09:00:00,0.934,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
11/03/1980 09:00:00,0.917,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
12/03/1980 09:00:00,0.924,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
13/03/1980 09:00:00,0.905,E;C,103,100,0,0,,data infilled;DM Infilled;NRFA reconciliation infill. Data provided by CEH.
