Station name,RICKMANSWORTH
Station number,"2859TH"
External number,---
River,River Chess
Operator,---
NGR,TQ0657394809
Easting,"506573"
Northing,"194809"
Parameter-name,FQ [Flow]
Parameter Type,Flow
Time series name,HNL/2859TH/FQ/WDay.Mean
Time series unit,m³/s
Time level,Daily
Time series type,Other
Equidistant time series,yes
Time series value distance,1 day
Time series quality,Production
Time series measuring method,---
Period of record in file: 01/01/1980 09:00:00 to 08/01/2021 09:00:00
Quality code description, G = good; E = estimated; S = suspect; U = unchecked; M = missing; C = complete; I = incomplete; Ed = edited; WR = within rating; NR = no rating; EX> = extrapolated upper part; EX< = extrapolated lower part; BL> = beyond upper limit; BL< = beyond lower limit; MH = weir modular (head); NH = weir non modular (head); EH = weir extremely non modular (head); MT = weir modular (tail); NT = weir non modular (tail); ET = weir extremely non modular (tail); MC = weir modular (crest); NC = weir non modular (crest); EC = weir extremely non modular (crest); -H = weir head only; RAS = rastered time stamp; A = apportioned/interpolated; D = dry; SN = snow; T = trace
Time stamp,Value[m³/s],State of value,Interpolation,valid[%],invalid[%],missing[%],Tags,Comments
18/03/1980 09:00:00,0.802,G;C,103,100,0,0
19/03/1980 09:00:00,0.746,G;C,103,100,0,0
20/03/1980 09:00:00,0.725,G;C,103,100,0,0
21/03/1980 09:00:00,0.718,G;C,103,100,0,0
22/03/1980 09:00:00,0.718,G;C,103,100,0,0
23/03/1980 09:00:00,0.707,G;C,103,100,0,0
24/03/1980 09:00:00,0.764,G;C,103,100,0,0
25/03/1980 09:00:00,0.723,G;C,103,100,0,0
26/03/1980 09:00:00,0.732,G;C,103,100,0,0
27/03/1980 09:00:00,0.757,G;C,103,100,0,0
28/03/1980 09:00:00,0.738,G;C,103,100,0,0
29/03/1980 09:00:00,0.722,G;C,103,100,0,0
30/03/1980 09:00:00,0.704,G;C,103,100,0,0
31/03/1980 09:00:00,0.752,G;C,103,100,0,0
01/04/1980 09:00:00,0.847,G;C,103,100,0,0
02/04/1980 09:00:00,0.815,G;C,103,100,0,0
03/04/1980 09:00:00,0.743,G;C,103,100,0,0
04/04/1980 09:00:00,0.717,G;C,103,100,0,0
05/04/1980 09:00:00,0.704,G;C,103,100,0,0
06/04/1980 09:00:00,0.691,G;C,103,100,0,0
07/04/1980 09:00:00,0.690,G;C,103,100,0,0
