file,timestamp,2024-03-28T11:31:39
database,id,nrfa-public-30
database,name,UK National River Flow Archive
station,id,28046
station,name,Dove at Izaak Walton
station,gridReference,SK14715100
station,descriptionSummary,Crump profile Flat V weir modular to bankfull draining catchment with natural flow regime.
station,descriptionGeneral,"Crump profile flat vee weir, 7.59m wide, deep vertical sidewalls, modular to bankfull. Excellent station, narrower than the main channel."
station,descriptionStationHydrometry,Fish baffles installed on weir in August 2016. Bypassing may occur at high flows on the left bank. Two peak flow ratings applied across period of record. Gaugings generally performed with ADCP within or just upstream of the weir wing walls across the stage range.
station,descriptionFlowRecord,Water Year 1969/1970 rejected due to low confidence. Debris in summer 2022 leading to unusual peak in August. Unable to correct. Full period of record peak flow data reviewed and released in August 2021 (WINFAP Files v10).
station,descriptionCatchment,"Long narrow catchment. Upper reaches on Millstone Grit mudstone and sandstone. Western watershed is formed by a steep Carboniferous Limestone ridge. The Dove's passage across the Carb. l'st is characterised by deep gorges (Wolfscote Dale, Dove Dale). Largely moorland."
station,descriptionFlowRegime,Flashy response but natural catchment.
dataType,id,gdf
dataType,name,Gauged Daily Flow
dataType,parameter,Flow
dataType,units,m3/s
dataType,period,day (P1D)
dataType,measurementType,Mean
data,first,1969-07-01
data,last,2022-09-30
1969-07-01,1.411
1969-07-02,1.376
1969-07-03,1.346
1969-07-04,1.321
1969-07-05,1.298
1969-07-06,1.289
1969-07-07,1.268
1969-07-08,1.293
1969-07-09,1.268
1969-07-10,1.231
1969-07-11,1.214
1969-07-12,1.204
1969-07-13,1.184
1969-07-14,1.163
1969-07-15,1.144
1969-07-16,1.122
1969-07-17,1.099
1969-07-18,1.086
1969-07-19,1.077
1969-07-20,1.060
1969-07-21,1.032
1969-07-22,1.017
1969-07-23,1.007
1969-07-24,0.993
1969-07-25,0.979
1969-07-26,0.974
1969-07-27,0.963
1969-07-28,1.092
1969-07-29,1.192
1969-07-30,0.969
1969-07-31,0.909
1969-08-01,0.889
1969-08-02,0.884
1969-08-03,0.923
1969-08-04,0.908
1969-08-05,0.865
1969-08-06,0.840
1969-08-07,0.826
1969-08-08,0.818
1969-08-09,0.818
1969-08-10,0.806
1969-08-11,0.819
1969-08-12,0.905
1969-08-13,0.830
1969-08-14,0.807
1969-08-15,0.790
1969-08-16,0.769
1969-08-17,0.755
1969-08-18,0.755
1969-08-19,0.755
1969-08-20,0.754
1969-08-21,0.762
1969-08-22,0.781
1969-08-23,0.754
1969-08-24,0.727
1969-08-25,0.717
1969-08-26,0.760
1969-08-27,0.846
1969-08-28,0.744
1969-08-29,0.717
1969-08-30,0.705
1969-08-31,0.697
1969-09-01,0.689
1969-09-02,0.681
1969-09-03,0.672
